tipo_muerte,zona,subzona,distrito,circuito,codigo_subcircuito,subcircuito,codigo_provincia,provincia,codigo_canton,canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,fecha_infraccion,hora_infraccion,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,edad,medida_edad,sexo,genero,etnia,estado_civil,nacionalidad,discapacidad,profesion_registro_civil,instruccion,anio,mes,dia_semana,rango_edad
FEMICIDIO,ZONA 9,D.M. QUITO,QUITUMBE,TURUBAMBA,17D07C05S06,TURUBAMBA 6,17,PICHINCHA,1701,QUITO,-0.35542,-78.52515,URBANO,VÍA PÚBLICA,PUBLICO,2025-12-31,01:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,30.0,A,MUJER,FEMENINO,MESTIZO/A,DESCONOCIDO,DESCONOCIDO,NINGUNA,SIN_DATO,SIN_DATO,2025,12,Miercoles,Adulto
ASESINATO,ZONA 4,MANABÍ,MANTA,SAN JUAN,13D02C11S01,SAN JUAN 1,13,MANABI,1308,MANTA,-0.9958,-80.74165,URBANO,CASA/VILLA,PRIVADO,2025-12-31,02:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRÁFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,36.0,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO,2025,12,Miercoles,Adulto
ASESINATO,ZONA 5,GUAYAS,EMPALME,EMPALME CENTRO,09D15C06S01,EMPALME CENTRO 1,9,GUAYAS,908,EL EMPALME,-1.03846,-79.62889,RURAL,TERRENO BALDIO,PUBLICO,2025-12-31,03:00:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,21.0,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,TRABAJADOR GENERAL,SIN_DATO,2025,12,Miercoles,Joven
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,NUEVO GUAYAQUIL,09D08C06S01,NUEVO GUAYAQUIL 1,9,GUAYAS,901,GUAYAQUIL,-2.1181,-79.97163,URBANO,VÍA PÚBLICA,PUBLICO,2025-12-31,05:15:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,25.0,A,HOMBRE,MASCULINO,MESTIZO/A,DESCONOCIDO,DESCONOCIDO,NINGUNA,SIN_DATO,SIN_DATO,2025,12,Miercoles,Joven
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,NUEVO GUAYAQUIL,09D08C06S01,NUEVO GUAYAQUIL 1,9,GUAYAS,901,GUAYAQUIL,-2.1181,-79.97163,URBANO,VÍA PÚBLICA,PUBLICO,2025-12-31,05:15:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,26.0,A,HOMBRE,MASCULINO,MESTIZO/A,DESCONOCIDO,DESCONOCIDO,NINGUNA,SIN_DATO,SIN_DATO,2025,12,Miercoles,Joven
ASESINATO,ZONA 5,LOS RÍOS,QUEVEDO,LA MERCED,12D03C04S02,LA MERCED 2,12,LOS RIOS,1205,QUEVEDO,-0.97662,-79.43724,URBANO,CASA/VILLA,PRIVADO,2025-12-31,09:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,ROBO A PERSONAS,HERIDA POR ARMA DE FUEGO,29.0,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,TRABAJADOR PRIMARIO,SIN_DATO,2025,12,Miercoles,Joven
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR - DMG,UNIÓN DE BANANEROS,09D01C02S03,UNIÓN DE BANANEROS 3,9,GUAYAS,901,GUAYAQUIL,-2.25961,-79.88511,URBANO,VÍA PÚBLICA,PUBLICO,2025-12-31,09:40:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,33.0,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,BASICA,2025,12,Miercoles,Adulto
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PORTETE,BATALLÓN DEL SUBURBIO,09D04C05S01,BATALLÓN DEL SUBURBIO 1,9,GUAYAS,901,GUAYAQUIL,-2.22092,-79.94211,URBANO,VÍA PÚBLICA,PUBLICO,2025-12-31,11:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,38.0,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO,2025,12,Miercoles,Adulto
ASESINATO,ZONA 5,LOS RÍOS,BABAHOYO,PIMOCHA,12D01C11S01,PIMOCHA 1,12,LOS RIOS,1201,BABAHOYO,-1.76689,-79.50611,URBANO,VÍA PÚBLICA,PUBLICO,2025-12-31,11:45:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,24.0,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,TRABAJADOR GENERAL,SIN_DATO,2025,12,Miercoles,Joven
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PASCUALES,BASTIÓN POPULAR SUR,09D07C02S03,BASTIÓN POPULAR SUR 3,9,GUAYAS,901,GUAYAQUIL,-2.09236,-79.93316,URBANO,VÍA PÚBLICA,PUBLICO,2025-12-31,12:05:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,18.0,A,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER CIENCIAS,SIN_DATO,2025,12,Miercoles,Joven
